2024PN010124,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-03-19 15:20,WATER,TRIPLICATE SAMPLE,14.78,,,,,,,,,,
2024PN010125,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-03-19 15:25,WATER,TRIPLICATE SAMPLE,14.78,,,,,,,,,,
2024PN010126,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-03-19 15:30,WATER,TRIPLICATE SAMPLE,14.78,,,,,,,,,,
2024PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-05-27 15:35,WATER,TRIPLICATE SAMPLE,17,,,,,,4.64,,0.071,,
2024PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-05-27 15:40,WATER,TRIPLICATE SAMPLE,17,,,,,,3.74,,0.069,,
2024PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-05-27 15:45,WATER,TRIPLICATE SAMPLE,17,,,,,,4.98,,0.068,,
2024PN330009,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-06-25 13:10,WATER,DISCRETE SAMPLE,14.4,,,,,,4.93,,0.162,,
2024PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-07-24 12:30,WATER,DISCRETE SAMPLE,14.2,,,,,,4.55,,0.086,,
2024PN330024,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-08-19 13:20,WATER,DISCRETE SAMPLE,14.5,,,,,,3.11,,0.081,,
2024PN330025,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-09-16 12:25,WATER,DISCRETE SAMPLE,14.2,,,,,,2.6,,0.049,,
2024PN330033,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-10-14 12:25,WATER,DISCRETE SAMPLE,14.4,,,,,,3.39,,0.033,,
2024PN330037,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-02-18 12:30,WATER,DISCRETE SAMPLE,14.91,,,,,,1.5,,0.023,,
2024PN330045,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-03-19 14:15,WATER,TRIPLICATE SAMPLE,15.5,,,,,,1.76,,0.034,,
2024PN330046,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-03-19 14:20,WATER,TRIPLICATE SAMPLE,15.5,,,,,,2.02,,0.035,,
2024PN330050,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-03-19 14:10,WATER,TRIPLICATE SAMPLE,15.5,,,,,,1.97,,0.034,,
2025PN010001,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-04-16 13:00,WATER,DISCRETE SAMPLE,13.6,,,,,,,,,,
2025PN010009,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-05-13 13:09,WATER,DISCRETE SAMPLE,10.6,,,,,,,,,,
2025PN010028,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-06-10 15:30,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2025PN010038,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-07-08 13:20,WATER,DISCRETE SAMPLE,31.5,,,,,,,,,,
2025PN010044,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-08-06 12:15,WATER,DISCRETE SAMPLE,11.9,,,,,,,,,,
2025PN010047,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-09-04 12:42,WATER,DISCRETE SAMPLE,12,,,,,,,,,,
2025PN010084,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2026-02-10 12:15,WATER,DISCRETE SAMPLE,13,,,,,,,,,,
2025PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-04-16 17:02,WATER,DISCRETE SAMPLE,13.6,,,,,,1.65,,0.042,,
2025PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-05-13 17:10,WATER,DISCRETE SAMPLE,10.6,,,,,,8.11,,0.083,,
2025PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-06-10 15:30,WATER,DISCRETE SAMPLE,,,,,,,4.48,,0.061,,
2025PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-07-08 13:20,WATER,DISCRETE SAMPLE,31.5,,,,,,4,,0.044,,
2025PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-08-06 12:15,WATER,DISCRETE SAMPLE,11.6,,,,,,2.45,,0.036,,
2025PN330025,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-09-04 12:40,WATER,DISCRETE SAMPLE,12,,,,,,2.93,,0.05,,
2025PN330034,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2026-02-10 12:15,WATER,DISCRETE SAMPLE,13,,,,,,1.49,,0.019,,
2012PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2012-05-31 10:26,WATER,DISCRETE SAMPLE,7,,8.47,,0.05,,,,,,
2012PN330040,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2012-07-25 13:00,WATER,DISCRETE SAMPLE,10.73,,13.4,,0.09,,,,,,
2012PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2012-08-21 16:30,WATER,TRIPLICATE SAMPLE,11.8,,8.5,,0.09,,,,,,
2012PN330046,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2012-08-21 16:40,WATER,TRIPLICATE SAMPLE,11.8,,9.01,,0.09,,,,,,
2012PN330047,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2012-08-21 16:45,WATER,TRIPLICATE SAMPLE,11.8,,10.1,L,0.03,,,,,,
2012PN330066,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2012-09-26 11:36,WATER,DISCRETE SAMPLE,,,4.96,L,0.03,,,,,,
2012PN330075,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2013-02-25 11:24,WATER,DISCRETE SAMPLE,8,,2.38,L,0.03,,,,,,
2013PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2013-05-29 10:33,WATER,DISCRETE SAMPLE,12.7,,42.7,,0.09,,,,,,
2013PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2013-06-26 11:13,WATER,DISCRETE SAMPLE,8,,24,,0.31,,,,,,
2013PN330045,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2013-07-25 11:00,WATER,DISCRETE SAMPLE,12.6,,12.1,,0.13,,,,,,
2013PN330069,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2013-08-21 15:00,WATER,TRIPLICATE SAMPLE,5,,8.64,,0.11,,,,,,
2013PN330070,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2013-08-21 15:05,WATER,TRIPLICATE SAMPLE,5,,7.71,L,0.11,,,,,,
2013PN330071,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2013-08-21 15:10,WATER,TRIPLICATE SAMPLE,5,,8.07,,0.11,,,,,,
2013PN330139,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2013-10-08 10:35,WATER,DISCRETE SAMPLE,7.7,,7.11,,0.07,,,,,,
2013PN330144,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2014-02-24 12:50,WATER,DISCRETE SAMPLE,6,,2.5,L,0.03,,,,,,
2014PN330037,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2014-06-26 15:15,WATER,DISCRETE SAMPLE,12.3,,8.15,,0.07,,,,,,
2014PN330104,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2014-07-24 13:25,WATER,TRIPLICATE SAMPLE,11.8,,3.66,,0.08,,,,,,
2014PN330105,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2014-07-24 13:30,WATER,TRIPLICATE SAMPLE,11.8,,3.44,,0.07,,,,,,
2014PN330106,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2014-07-24 13:35,WATER,TRIPLICATE SAMPLE,11.8,,4.36,,0.07,,,,,,
2014PN330143,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2014-09-14 13:00,WATER,DISCRETE SAMPLE,12.8,,1.74,L,0.03,,,,,,
2014PN330168,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2014-10-12 14:40,WATER,DISCRETE SAMPLE,12.4,,2.58,L,0.03,,,,,,
2014PN330201,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2015-02-18 11:40,WATER,DISCRETE SAMPLE,10.3,,1.21,L,0.03,,,,,,
2015PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2015-06-28 14:16,WATER,DISCRETE SAMPLE,15,,4.87,,0.04,,,,,,
2015PN330077,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2015-08-23 13:22,WATER,DISCRETE SAMPLE,13.4,,2.26,L,0.03,,,,,,
2015PN330095,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2015-09-20 12:32,WATER,DISCRETE SAMPLE,12.5,,1.25,L,0.03,,,,,,
2015PN330131,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2015-10-18 13:00,WATER,DISCRETE SAMPLE,12.7,,3.25,L,0.03,,,,,,
2015PN330159,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2016-02-20 12:15,WATER,DISCRETE SAMPLE,13.5,,1.36,L,0.03,,,,,,
2016PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2016-05-29 13:00,WATER,DISCRETE SAMPLE,11.9,,6.44,,0.08,,,,,,
2016PN330050,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2016-07-26 14:00,WATER,DISCRETE SAMPLE,10.8,,8.41,,0.09,,,,,,
2016PN330078,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2016-08-21 12:35,WATER,DISCRETE SAMPLE,10,,4.34,,0.04,,,,,,
2016PN330106,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2016-09-21 11:45,WATER,DISCRETE SAMPLE,10.5,,30.7,,0.26,,,,,,
2016PN330127,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2016-10-16 12:40,WATER,DISCRETE SAMPLE,10.8,,4.68,,0.06,,,,,,
2016PN330156,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-01-30 11:35,WATER,DISCRETE SAMPLE,12.88,,1.88,L,0.03,,,,,,
2016PN330161,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-02-19 15:15,WATER,DISCRETE SAMPLE,12.37,,2.97,L,0.03,,,,,,
2016PN330178,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-03-20 15:05,WATER,TRIPLICATE SAMPLE,11.84,,2.65,L,0.03,,,,,,
2016PN330179,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-03-20 15:10,WATER,TRIPLICATE SAMPLE,11.84,,2.86,L,0.03,,,,,,
2016PN330180,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-03-20 15:15,WATER,TRIPLICATE SAMPLE,11.84,,2.5,L,0.03,,,,,,
2017PN330039,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-06-28 12:00,WATER,DISCRETE SAMPLE,12.7,,45.7,,0.14,,,,,,
2017PN330057,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-07-26 11:40,WATER,TRIPLICATE SAMPLE,11.7,,6.29,,0.11,,,,,,
2017PN330058,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-07-26 11:45,WATER,TRIPLICATE SAMPLE,11.7,,5.28,,0.09,,,,,,
2017PN330059,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-07-26 11:50,WATER,TRIPLICATE SAMPLE,11.7,,5.51,,0.1,,,,,,
2017PN330080,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-08-23 11:05,WATER,DISCRETE SAMPLE,10.7,,5.66,,0.08,,,,,,
2017PN330085,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-09-13 13:05,WATER,DISCRETE SAMPLE,11.6,,3.1,L,0.03,,,,,,
2017PN330086,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2017-10-16 15:20,WATER,DISCRETE SAMPLE,10,,6.36,,0.05,,,,,,
2017PN330134,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2018-03-10 10:05,WATER,DISCRETE SAMPLE,13.43,,2.97,L,0.03,,,,,,
2018PN330014,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2018-05-30 11:40,WATER,DISCRETE SAMPLE,11,,31.7,,0.23,,,,,,
2018PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2018-06-25 11:30,WATER,DISCRETE SAMPLE,11.9,,17.6,,0.1,,,,,,
2018PN330046,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2018-07-25 11:50,WATER,DISCRETE SAMPLE,11.5,,15.8,,0.2,,,,,,
2018PN330055,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2018-08-22 14:45,WATER,DISCRETE SAMPLE,11,,10.7,,0.1,,,,,,
2018PN330072,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2018-09-19 12:20,WATER,DISCRETE SAMPLE,11.9,,6.48,,0.07,,,,,,
2018PN330091,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-01-20 13:00,WATER,DISCRETE SAMPLE,12.89,,1.2,L,0.03,,,,,,
2018PN330104,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-02-20 10:50,WATER,DISCRETE SAMPLE,13.22,,2.6,L,0.03,,,,,,
2018PN330117,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-03-17 11:35,WATER,TRIPLICATE SAMPLE,13.38,,2.88,L,0.03,,,,,,
2018PN330118,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-03-17 11:40,WATER,TRIPLICATE SAMPLE,13.38,,2.85,L,0.03,,,,,,
2018PN330119,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-03-17 11:45,WATER,TRIPLICATE SAMPLE,13.38,,2.99,L,0.03,,,,,,
2019PN330039,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-06-26 13:30,WATER,DISCRETE SAMPLE,12.1,,4.8,,,,3.13,,0.048,,0.047
2019PN330047,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-07-22 13:50,WATER,DISCRETE SAMPLE,12.6,,21.4,,,,3.42,,0.142,,0.15
2019PN330071,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-08-21 15:10,WATER,DISCRETE SAMPLE,11.9,,13.3,,,,4.93,,0.16,,0.164
2019PN330075,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-09-16 13:20,WATER,TRIPLICATE SAMPLE,11.7,,9.22,,,,6.48,,0.126,,0.126
2019PN330076,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-09-16 13:25,WATER,TRIPLICATE SAMPLE,11.7,,8.59,,,,6.6,,0.128,,0.131
2019PN330077,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2019-09-16 13:30,WATER,TRIPLICATE SAMPLE,11.7,,8.96,,,,6.42,,0.13,,0.127
2019PN330110,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2020-01-28 13:10,WATER,DISCRETE SAMPLE,12.865,,,,,,,,,,
2019PN330111,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2020-02-16 12:55,WATER,DISCRETE SAMPLE,8,,,,,,,,,,
2020PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2020-09-30 16:00,WATER,DISCRETE SAMPLE,15.9,,,,,,5.65,,0.143,,
2020PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2020-08-26 12:00,WATER,DISCRETE SAMPLE,17,,,,,,,,,,
2020PN330008,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2020-10-20 14:50,WATER,DISCRETE SAMPLE,17.6,,,,,,4.85,,0.152,,
2020PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2021-03-01 11:50,WATER,DISCRETE SAMPLE,16.87,,,,,,2.01,,0.076,,
2020PN330015,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2021-03-15 10:20,WATER,DISCRETE SAMPLE,16.8,,,,,,2.31,,0.062,,
2021PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2021-06-19 14:20,WATER,DISCRETE SAMPLE,14.9,,,,,,,,,,
2021PN330014,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2021-07-01 13:40,WATER,DISCRETE SAMPLE,15,,,,,,7.46,,0.127,,
2021PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2021-07-30 14:05,WATER,DISCRETE SAMPLE,14.2,,,,,,4.38,,0.06,,
2021PN330028,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2021-08-25 14:00,WATER,DISCRETE SAMPLE,14.5,,,,,,2.6,,0.039,,
2021PN330045,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2021-09-23 14:50,WATER,DISCRETE SAMPLE,14.2,,,,,,2.7,,0.043,,
2021PN330054,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2021-10-25 13:45,WATER,DISCRETE SAMPLE,14.7,,,,,,3.69,,0.057,,
2021PN330061,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2022-03-01 11:22,WATER,DISCRETE SAMPLE,16.8,,,,,,1.8,,0.027,,
2021PN330066,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2022-03-19 12:10,WATER,DISCRETE SAMPLE,16.44,,,,,,1.51,,0.017,,
2022PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2022-05-26 15:20,WATER,TRIPLICATE SAMPLE,15.1,,,,,,6.19,,0.342,,
2022PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2022-05-26 15:25,WATER,TRIPLICATE SAMPLE,15.1,,,,,,6.46,,0.32,,
2022PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2022-05-26 15:30,WATER,TRIPLICATE SAMPLE,15.1,,,,,,7,,0.35,,
